"WARS,Who was the president of the United States during the Civil War?,Abraham Lincoln*;George Washington;Thomas Jefferson;Andrew Jackson"
"WARS,Which war was fought between the North and the South in the United States?,Revolutionary War;Civil War*;World War I;World War II"
"WARS,What year did World War II end?,1941;1943;1945*;1947"
"WARS,Who was the British prime minister during most of World War II?,Winston Churchill*;Neville Chamberlain;Margaret Thatcher;Tony Blair"
"WARS,What was the primary cause of World War I?,Assassination of Archduke Franz Ferdinand*;Invasion of Poland;Treaty of Versailles;Attack on Pearl Harbor"
"WARS,Which war was known as the Great War?,World War I*;World War II;Korean War;Vietnam War"
"WARS,Which country was first to declare war in World War I?,Austria-Hungary*;Germany;Russia;France"
"WARS,Who was the U.S. president during the majority of the Vietnam War?,Lyndon B. Johnson*;John F. Kennedy;Richard Nixon;Gerald Ford"
"WARS,What was the name of the first atomic bomb dropped on Japan?,Little Boy*;Fat Man;Thin Man;Big Boy"
"WARS,Which conflict is often referred to as the ""Forgotten War""?,Korean War*;World War I;World War II;Vietnam War"
"WARS,Who was the U.S. president during the Gulf War?,Ronald Reagan;George H.W. Bush*;Bill Clinton;George W. Bush"
"WARS,What year did the United States enter World War I?,1915;1916;1917*;1918"
"WARS,What was the primary cause of the American Revolutionary War?,Taxation without representation*;Slavery;Land disputes;Religious freedom"
"WARS,Which country did the United States fight in the War of 1812?,France;Spain;Great Britain*;Germany"
"WARS,Who was the U.S. president during World War I?,Woodrow Wilson*;Theodore Roosevelt;William Taft;Warren Harding"
"WARS,What year did the Korean War start?,1949;1950*;1951;1952"
"WARS,What was the name of the U.S. operation to invade Iraq in 2003?,Operation Desert Storm;Operation Iraqi Freedom*;Operation Enduring Freedom;Operation New Dawn"
"WARS,Who was the commander of the Allied forces in Europe during World War II?,Dwight D. Eisenhower*;Douglas MacArthur;George Patton;Omar Bradley"
"WARS,What year did the Vietnam War end?,1973;1974;1975*;1976"
"WARS,Which battle is considered the turning point of the American Civil War?,Battle of Gettysburg*;Battle of Antietam;Battle of Bull Run;Battle of Shiloh"

"CAPITALS,What is the capital of California?,San Francisco;San Diego;Los Angeles;Sacramento*"
"CAPITALS,What is the capital of Texas?,Dallas;Houston;Austin*;San Antonio"
"CAPITALS,What is the capital of New York?,New York City;Albany*;Buffalo;Rochester"
"CAPITALS,What is the capital of Florida?,Miami;Orlando;Tallahassee*;Tampa"
"CAPITALS,What is the capital of Illinois?,Chicago;Springfield*;Aurora;Naperville"
"CAPITALS,What is the capital of Georgia?,Savannah;Augusta;Macon;Atlanta*"
"CAPITALS,What is the capital of Pennsylvania?,Philadelphia;Pittsburgh;Harrisburg*;Allentown"
"CAPITALS,What is the capital of Ohio?,Cleveland;Cincinnati;Columbus*;Dayton"
"CAPITALS,What is the capital of Michigan?,Detroit;Grand Rapids;Lansing*;Ann Arbor"
"CAPITALS,What is the capital of Colorado?,Denver*;Colorado Springs;Aurora;Boulder"
