SPORTS, What type of material is a football made of?,Rubber;Plastic;Leather*;Metal
SPORTS, What is the role of a quarterback?,Throw the ball*;Catch the ball;Block the opponent;Run with the ball
SPORTS, How many players are on a football team?,9;11*;13;15
SPORTS, What is the shape of a football field?,Square;Circle;Oval;Rectangle*
SPORTS, How many points is a touchdown worth?,3;6*;7;10
SPORTS, How many quarters are in a football game?,2;3;4*;5
SPORTS, Who won the Super Bowl in 2023?,Kansas City Chiefs*;San Francisco 49ers;Green Bay Packers;New England Patriots
SPORTS, How many yards is a football field?,80;90;100*;120
SPORTS, What is a field goal worth in football?,1;2;3*;4
SPORTS, What is the name of the NFL trophy?,Lombardi Trophy*;Heisman Trophy;Stanley Cup;World Cup
SPORTS, How many strikes are considered an out in baseball?,2;3*;4;5
SPORTS, What shapes are on a baseball field?,Circles;Squares;Diamonds*;Triangles
SPORTS, Who holds the record for most home runs in MLB history?,Hank Aaron;Babe Ruth;Barry Bonds*;Alex Rodriguez
SPORTS, How many players are on a baseball team?,7;8;9*;10
SPORTS, What is the role of the pitcher?,Catch the ball;Hit the ball;Throw the ball*;Run the bases
SPORTS, What is a grand slam in baseball?,A home run with the bases empty;A home run with one runner on base;A home run with two runners on base;A home run with the bases loaded*
SPORTS, How many bases are there on a baseball field?,3;4*;5;6
SPORTS, What is the distance between bases in baseball?,60 feet;70 feet;90 feet*;100 feet
SPORTS, Who won the World Series in 2023?,Los Angeles Dodgers;Houston Astros*;Atlanta Braves;New York Yankees
SPORTS, What is the term for a batter who hits the ball over the fence?,Home run*;Strikeout;Double;Triple
SPORTS, What shapes are on a soccer ball?,Squares;Triangles;Hexagons and Pentagons*;Circles
SPORTS, How many players are on a soccer team?,9;10;11*;12
SPORTS, What is the primary role of a goalkeeper?,Score goals;Defend the goal*;Pass the ball;Referee the game
SPORTS, Who won the FIFA World Cup in 2022?,Brazil;France;Argentina*;Germany
SPORTS, What is the name of the trophy awarded in the FIFA World Cup?,Stanley Cup;Lombardi Trophy;FIFA World Cup Trophy*;Heisman Trophy
SPORTS, What is a penalty kick in soccer?,A kick awarded after a foul in the penalty area*;A regular kick;A corner kick;A goal kick
